108885075	15826867	3.5055
12044853	15826870	1.0434
12044854	15826871	1.5144
12044855	15826923	2.2863
12044859	15827035	2.4296
108885077	15827282	2.3107
12044865	15827547	2.1922
12044869	15828348	2.4223
12044871	15827034	2.2759
12044873	15827063	2.049
12044874	15828041	1.3934
12044876	15827184	2.306
12044885	15827170	2.4682
12044886	15827171	1.8846
12044888	15828244	1.5127
12044896	15827108	2.1044
12044897	15827200	1.4826
12044898	15827854	1.7626
12044900	15828326	2.2594
12044902	15828164	2.288
12044903	15827298	2.9866
12044904	15828020	2.5076
12044908	15827002	2.8406
108885080	15827044	1.5543
12044911	15827281	1.852
12044918	15827231	2.111
12044922	15827838	2.1742
12044923	15828441	2.8774
12044924	15827340	1.6806
12044925	15827723	1.3301
12044929	15827557	2.4624
12044930	15827556	2.8162
12044931	15827555	2.0706
12044933	15828019	1.1878
12044934	15828018	1.6721
12044935	15827040	2.007
12044938	15827656	2.9642
12044939	15828007	0.5492
12044940	15828006	0.8464
12044941	15828005	0.8425
12044944	15828448	2.1615
12044945	15828447	3.0508
108885083	15828446	2.5134
12044949	15827886	2.4927
12044951	15827908	2.3816
12044952	15827906	2.5196
108885085	15828039	2.0914
12044959	15827197	1.8294
12044960	15826883	2.9532
108885086	15826879	2.6308
12044962	15827343	2.3408
161579581	15826973	3.783
12044964	15827205	2.8324
12044966	15827465	2.35
12044967	15828092	2.0152
12044970	15827009	3.2716
12044974	15827005	2.3951
12044976	15828175	2.0548
12044978	15827289	1.7982
12044980	15827706	3.056
12044984	15827146	3.0148
12044988	15827728	1.8644
12044989	15826927	2.1946
12044990	15827250	1.0775
12044991	15827796	2.1666
12044993	15827820	2.783
12044994	15827818	1.6817
12044997	15827378	3.1104
12045003	15828003	1.6798
12045004	15828002	1.5545
12045005	15828001	2.1121
12045006	15828000	1.9057
12045007	15827999	1.0829
12045008	15827998	0.694
12045009	15827997	2.768
12045010	15827996	1.8325
12045011	15827995	1.3083
12045013	15827993	1.463
12045014	15827992	0.7098
12045015	15827991	1.7196
12045016	15827990	0.9865
12045017	15827989	0.7187
12045018	15827988	1.4679
12045019	15827987	1.7481
12045020	15827986	2.3281
12045021	15827985	1.5455
12045022	15827983	1.5761
12045023	15827980	1.94
12045024	15827979	2.1899
12045025	15827978	2.6902
12045026	15828064	1.6089
12045027	15828063	1.0284
12045028	15828062	0.9052
108885090	15828061	1.1067
12045030	15828059	1.9044
12045031	15828058	2.1045
12045035	161723265	2.5899
12045040	15827534	1.5431
12045041	15827751	2.9033
108885091	15827945	2.7151
12045046	15827734	2.3943
12045047	15827735	3.6668
12045048	15827729	2.5078
12045050	15827731	2.0781
12045057	15827254	3.3725
12045058	15827213	2.8772
12045059	15828431	1.6286
12045061	15827611	2.6403
12045066	15827414	3.2644
12045068	15827714	2.4948
12045069	15827907	3.0045
12045070	15827659	2.2795
108885095	15827425	2.6727
12045077	15827426	2.4205
12045079	15827437	3.6147
12045082	15827801	1.0426
12045083	15827800	2.1427
12045084	15827930	0.9735
12045085	15827933	0.9764
12045086	15827932	0.7757
12045089	15827768	1.0609
12045090	15828008	2.4906
12045093	15827779	3.3028
108885097	15827763	2.7357
12045098	15826976	2.5593
12045103	15827487	1.4853
12045104	15827366	3.5094
12045105	15827364	1.6051
12045106	15827088	3.4799
12045107	15827673	2.3964
12045108	15827911	2.0461
12045113	15827565	1.6744
12045114	15827566	3.1195
12045116	15827612	2.4834
12045117	15827719	2.6104
12045118	15827876	2.4599
12045122	15826893	1.5912
12045127	15828281	2.219
12045128	15827386	2.3758
12045134	15827167	2.9966
12045138	15828286	2.2281
12045139	15827816	2.0461
12045148	15827174	2.3024
12045149	15826919	3.4471
12045151	15827913	2.3252
12045153	15827857	2.2363
12045154	15827858	2.6412
108885101	15827220	1.6914
12045157	15827219	1.0097
12045161	15828350	1.0133
12045167	15828060	1.8034
12045182	15827183	2.3599
12045187	15827717	2.2692
12045188	15827716	2.0273
12045190	15827157	3.3661
12045191	15827774	2.0075
12045195	15827373	2.6586
12045198	15827469	1.5002
108885105	15828009	1.5425
12045200	15828010	1.2713
108885106	15827608	2.8057
12045205	15827131	1.9648
12045206	15828417	3.46
12045211	15827013	2.0333
12045215	15828345	1.1732
12045219	15827160	2.014
12045221	15828013	3.1409
12045222	15828012	1.6919
12045226	15827204	3.432
12045228	15827877	3.1386
12045236	15827147	2.3781
12045239	15827558	2.3677
12045244	15827765	2.9791
12045245	15827767	1.9573
108885108	15827258	2.4439
12045253	15827389	2.3763
108885109	15827082	1.3112
12045256	15828055	1.2547
12045258	15827780	1.7234
12045261	15827576	0.8048
12045262	15827575	2.5929
12045263	15827574	1.1563
12045269	15827047	1.098
12045270	15828428	1.9172
12045272	15828171	1.2934
12045273	15828130	2.9317
12045277	15827098	1.4924
12045278	15827097	1.6194
108885112	15828258	3.5082
12045281	15827727	1.123
12045284	15827379	1.5499
12045285	15827355	2.6079
12045291	15827221	2.0153
12045293	15827837	2.0988
12045294	15827835	2.379
12045295	15827834	2.13
12045303	15827849	1.1172
12045304	15827850	1.9222
108885115	15827853	2.0728
12045310	15828004	0.5744
12045312	15826994	1.9084
108885117	15827703	1.9323
12045316	15827019	1.4131
12045317	15827016	2.0561
12045321	15827897	2.1762
12045322	15827037	3.1797
12045325	15828470	1.432
12045328	15827279	1.8988
12045329	15826866	2.7971
12045330	15827712	2.544
